目标	变量1	变量2	变量3	变量4	变量5	变量6	变量7	变量8	变量9	变量10	变量11
-6.42216332	98.8	1.41	1.4425	9	6	6.26118675	6.420814865	52.435	0.104257639	12.13888889	0.394583335
-6.228828	94.6	1.6275	1.18	4.25	3.5	5.7506939	5.748366025	104.17	0.10826875	7.6875	0.268976387
-6.1911292	96.225	1.6275	1.43	4.25	6	5.7506939	6.35765535	106.1741667	0.106190972	7.576388889	0.372076084
-5.94947172	97.625	1.4875	1.43	6.5	6	5.7888676	6.35765535	95.44083333	0.089157639	11.16666667	0.333823297
-5.87285052	96	1.4875	1.18	6.5	3.5	5.7888676	5.748366025	65.27	0.08316875	12.80555556	0.253310809
-5.79709452	97.025	1.585	1.18	10.5	3.5	5.9809033	5.748366025	119.1691667	0.10795	31.88888889	0.730093899
-5.68981112	93.775	1.585	1.1925	10.5	3.5	5.9809033	5.81152554	112.5825	0.10991875	31.88888889	0.785131275
-5.6839082	97.2875	1.5875	1.43	4.25	6	5.83117685	6.35765535	93.72520833	0.08576875	7.576388889	0.304668733
-5.561091	98.2375	1.56	1.18	8.25	3.5	6.03536305	5.748366025	120.886875	0.120880556	21.24305556	0.639083285
-5.5318544	101.0375	1.4575	1.68	14	8.5	5.89078225	6.966944675	87.22409722	0.07396875	14.75	0.769725563
-5.51461592	98.975	1.6275	1.5825	4.25	6	5.7506939	6.7699851	311.8741667	0.084713889	7.576388889	1.363054458
-5.5142372	98.75	1.4875	1.3325	6.5	3.5	5.7888676	6.160695775	330.6866667	0.115913889	12.38888889	1.432884081
-5.48704712	100.6	1.6275	1.8325	4.25	8.5	5.7506939	7.379274425	199.07	0.156263889	6.576388889	1.058708962
-5.1721232	93.25	1.71	1.43	3.5	6	6.2271589	6.35765535	45.58333333	0.092555556	6.972222222	0.578363262
-4.99385952	98.45	1.6675	1.18	7.5	3.5	6.63959825	5.748366025	178.5605556	0.12961875	21.22222222	0.596091256
-4.759877	93.15	1.455	1.18	10.5	3.5	6.0469168	5.748366025	45.58166667	0.04425	31.88888889	0.861833275
-4.37304332	102.25	1.4875	1.1525	6.5	3.5	5.7888676	5.50787885	528.1866667	0.090158333	12.80555556	0.313500655
-4.32606552	100.425	1.41	1.18	9	3.5	6.26118675	5.748366025	40.42805556	0.1086	10.47222222	0.383463304
-4.2733542	96.4375	1.8575	1.18	7.75	3.5	6.59044305	5.748366025	131.026875	0.170952083	20.74305556	0.885758257
-4.2135784	95.75	1.815	1.595	6.75	6	7.1505515	6.833144615	269.1005556	0.204672222	10.24305556	1.324831824
-3.980746	90.0625	1.5725	1.685	4.25	8.5	6.9512115	7.06764069	222.5190972	0.085290972	3.1875	0.908625246
-3.82192852	79.075	1.5425	1.44	7	6	6.2175208	6.559047381	12.28138889	0.04236875	14.55555556	0.758253487
-3.3867216	92.9125	1.6425	1.9975	6.75	8.5	6.7119048	7.85476369	636.7835417	0.144855556	4.409722222	1.272680935
-3.36286692	106.7	1.3975	1.805	5.5	8.5	6.1466513	7.13878725	296.0383333	0.105490972	10.55555556	0.654454587
-3.304246	100.6125	1.49	1.645	6.75	8.5	5.8094801	6.763994	387.4874306	0.085430556	10.24305556	0.027369961
-3.02246452	97.4125	1.5675	1.4025	4.5	6	6.2911721	6.117168175	802.4335417	0.126766667	4.5	0.49982958
-2.97559032	100.9625	1.5425	1.3175	9.5	3.5	6.54101175	5.983368115	596.6674306	0.147247222	26.22222222	1.920642602
-2.92086432	97.525	1.5375	1.165	3.5	3.5	6.54722605	5.61192225	318.8208333	0.122124306	5.222222222	0.921614457
-2.84103412	96.475	1.5575	2.075	4.75	11	6.1914976	8.02610025	321.5097222	0.156852083	4.1875	0.979991165
-2.8309694	92.8625	1.7375	1.645	3.75	8.5	6.62989385	6.804877885	502.0135417	0.113890972	5.1875	0.708917738
-2.7331796	89.1875	1.5875	1.1925	4	3.5	6.7595286	5.81152554	322.4357639	0.088222222	4.305555556	0.524635166
